File_ID,Department,File_Type,Size_GB,Last_Access_Date,Storage_Tier,Monthly_Cost_USD
F00001,Engineering,Backup,1.97,2024-02-02,S3 IA,0.0246
F00002,Sales,Other,0.1,2023-12-16,S3 Standard,0.0023
F00003,Marketing,Document,7.15,2024-07-10,S3 IA,0.0894
F00004,Sales,Other,0.22,2024-03-22,S3 Standard,0.0051
F00005,Sales,Media,10.0,2023-11-19,S3 Standard,0.23
F00006,Finance,Log,0.63,2024-09-23,Glacier,0.0025
F00007,Marketing,Log,0.94,2023-12-14,S3 Standard,0.0216
F00008,Marketing,Media,3.24,2025-08-13,S3 Standard,0.0745
F00009,Marketing,Backup,6.69,2025-07-01,S3 IA,0.0836
F00010,Sales,Backup,0.75,2025-08-02,S3 Standard,0.0173
F00011,Engineering,Log,2.9,2024-05-18,S3 Standard,0.0667
F00012,Marketing,Log,3.3,2025-07-08,S3 IA,0.0413
F00013,Sales,Document,1.19,2024-12-25,S3 Standard,0.0274
F00014,Finance,Backup,0.61,2023-10-11,S3 Standard,0.014
F00015,Engineering,Media,9.05,2024-02-04,S3 Standard,0.2082
F00016,Finance,Backup,3.49,2025-04-23,S3 Standard,0.0803
F00017,Engineering,Document,0.07,2023-12-18,S3 IA,0.0009
F00018,Sales,Log,8.12,2024-10-06,S3 IA,0.1015
F00019,HR,Log,19.76,2025-03-08,S3 Standard,0.4545
F00020,Engineering,Document,4.66,2024-06-23,S3 IA,0.0583
F00021,Finance,Media,3.5,2025-09-06,Glacier,0.014
F00022,Sales,Log,10.54,2025-08-15,S3 Standard,0.2424
F00023,Engineering,Other,15.24,2024-07-18,S3 IA,0.1905
F00024,HR,Log,7.02,2025-07-29,S3 Standard,0.1615
F00025,HR,Other,2.95,2025-06-27,S3 IA,0.0369
F00026,Marketing,Document,4.49,2025-01-28,Glacier,0.018
F00027,Marketing,Document,6.04,2024-07-27,S3 Standard,0.1389
F00028,Finance,Log,1.08,2025-06-13,S3 Standard,0.0248
F00029,Engineering,Backup,2.96,2025-06-24,S3 Standard,0.0681
F00030,Engineering,Other,8.85,2023-09-13,S3 Standard,0.2035
F00031,Marketing,Media,5.32,2025-03-12,S3 Standard,0.1224
F00032,Engineering,Log,2.65,2025-02-15,S3 IA,0.0331
F00033,Engineering,Media,5.44,2023-12-10,S3 Standard,0.1251
F00034,HR,Log,0.63,2024-10-28,S3 Standard,0.0145
F00035,Marketing,Backup,2.57,2024-09-03,S3 IA,0.0321
F00036,Sales,Backup,7.88,2024-11-09,S3 Standard,0.1812
F00037,Marketing,Backup,1.25,2023-11-02,Glacier,0.005
F00038,Sales,Backup,1.03,2024-09-20,S3 IA,0.0129
F00039,HR,Document,15.06,2024-12-13,S3 Standard,0.3464
F00040,Finance,Document,1.18,2024-08-31,S3 Standard,0.0271
F00041,Engineering,Other,1.51,2025-07-27,S3 Standard,0.0347
F00042,HR,Media,17.47,2024-08-22,S3 IA,0.2184
F00043,Engineering,Log,6.63,2024-09-16,S3 Standard,0.1525
F00044,Finance,Log,6.01,2024-03-31,S3 IA,0.0751
F00045,Finance,Document,9.58,2024-03-01,S3 IA,0.1198
F00046,HR,Log,0.62,2023-11-16,S3 Standard,0.0143
F00047,Finance,Document,6.12,2025-07-25,S3 IA,0.0765
F00048,Sales,Other,3.5,2024-04-10,S3 Standard,0.0805
F00049,Finance,Media,8.83,2024-07-02,Glacier,0.0353
F00050,Engineering,Other,3.55,2025-07-10,S3 Standard,0.0817
F00051,Engineering,Backup,4.84,2024-12-18,S3 IA,0.0605
F00052,Engineering,Backup,3.25,2024-01-29,S3 Standard,0.0747
F00053,Engineering,Backup,3.25,2025-08-19,S3 IA,0.0406
F00054,Sales,Other,7.3,2024-01-07,S3 Standard,0.1679
F00055,Marketing,Log,4.95,2024-12-23,S3 Standard,0.1139
F00056,HR,Media,5.02,2025-06-19,S3 Standard,0.1155
F00057,Engineering,Backup,2.99,2025-08-19,S3 Standard,0.0688
F00058,Finance,Backup,3.79,2024-08-05,S3 IA,0.0474
F00059,Engineering,Backup,6.85,2024-11-05,S3 IA,0.0856
F00060,Finance,Media,8.74,2024-07-20,S3 Standard,0.201
F00061,Finance,Backup,5.96,2025-05-29,S3 Standard,0.1371
F00062,Engineering,Media,12.89,2024-01-24,S3 Standard,0.2965
F00063,Sales,Backup,8.58,2024-04-14,S3 Standard,0.1973
F00064,Finance,Other,4.13,2024-11-25,S3 Standard,0.095
F00065,Finance,Other,5.56,2023-11-18,S3 Standard,0.1279
F00066,Engineering,Media,13.04,2024-07-11,S3 Standard,0.2999
F00067,Finance,Other,4.83,2024-03-12,S3 Standard,0.1111
F00068,Finance,Media,8.71,2025-01-04,Glacier,0.0348
F00069,Engineering,Other,5.84,2023-09-15,S3 Standard,0.1343
F00070,Engineering,Other,4.01,2025-05-05,S3 Standard,0.0922
F00071,HR,Media,1.38,2023-10-30,S3 IA,0.0172
F00072,Sales,Log,2.78,2025-04-27,S3 IA,0.0347
F00073,Sales,Other,17.17,2024-06-15,S3 Standard,0.3949
F00074,Finance,Backup,5.36,2024-02-14,S3 IA,0.067
F00075,Sales,Log,4.16,2023-10-23,S3 IA,0.052
F00076,Finance,Media,13.51,2025-02-02,S3 Standard,0.3107
F00077,HR,Log,4.42,2024-08-18,S3 Standard,0.1017
F00078,Engineering,Document,3.73,2025-07-13,S3 Standard,0.0858
F00079,Engineering,Document,7.12,2025-07-25,S3 Standard,0.1638
F00080,Engineering,Other,6.24,2023-10-26,S3 Standard,0.1435
F00081,Sales,Other,1.07,2024-08-09,S3 IA,0.0134
F00082,HR,Backup,3.19,2025-05-10,S3 Standard,0.0734
F00083,Sales,Log,3.2,2025-03-19,S3 Standard,0.0736
F00084,Sales,Document,2.38,2024-01-30,S3 Standard,0.0547
F00085,HR,Other,3.64,2025-01-10,S3 Standard,0.0837
F00086,HR,Log,2.66,2024-02-27,S3 IA,0.0333
F00087,HR,Other,1.11,2024-08-02,S3 Standard,0.0255
F00088,HR,Other,2.66,2024-07-09,Glacier,0.0106
