File_ID,Department,File_Type,Size_GB,Days_Since_Access,Storage_Tier,Proposed_Tier,Potential_Savings
F00733,Engineering,Log,34.79,811,S3 Standard,Glacier,0.661
F00842,Sales,Backup,31.94,584,S3 Standard,Glacier,0.6068
F02302,HR,Log,31.7,560,S3 Standard,Glacier,0.6023
F00766,Engineering,Document,31.6,539,S3 Standard,Glacier,0.6004
F02794,HR,Other,30.13,887,S3 Standard,Glacier,0.5725
F00394,HR,Other,29.99,672,S3 Standard,Glacier,0.5698
F02237,Engineering,Document,28.74,714,S3 Standard,Glacier,0.546
F02660,Marketing,Media,27.99,430,S3 Standard,Glacier,0.5318
F01358,Finance,Backup,27.15,823,S3 Standard,Glacier,0.5158
F00362,Engineering,Log,27.03,390,S3 Standard,Glacier,0.5136
F00845,Sales,Other,26.27,674,S3 Standard,Glacier,0.4991
F02535,HR,Backup,24.65,730,S3 Standard,Glacier,0.4683
F01494,Finance,Document,24.55,687,S3 Standard,Glacier,0.4664
F02058,Finance,Media,24.19,301,S3 Standard,Glacier,0.4596
F01459,HR,Other,23.42,700,S3 Standard,Glacier,0.445
F02944,Finance,Media,22.9,672,S3 Standard,Glacier,0.4351
F00997,HR,Document,22.32,821,S3 Standard,Glacier,0.4241
F00635,HR,Media,21.52,651,S3 Standard,Glacier,0.4089
F02874,HR,Other,21.46,587,S3 Standard,Glacier,0.4078
F00144,Engineering,Log,21.26,438,S3 Standard,Glacier,0.404
F02554,Finance,Log,20.97,353,S3 Standard,Glacier,0.3984
F00683,Finance,Other,20.65,187,S3 Standard,Glacier,0.3924
F00900,Marketing,Backup,20.65,555,S3 Standard,Glacier,0.3924
F02657,Finance,Backup,20.59,664,S3 Standard,Glacier,0.3912
F00809,HR,Backup,20.39,607,S3 Standard,Glacier,0.3874
F02458,HR,Media,20.38,201,S3 Standard,Glacier,0.3872
F02965,Finance,Log,20.25,186,S3 Standard,Glacier,0.3848
F01068,Sales,Other,20.16,286,S3 Standard,Glacier,0.3831
F01660,Engineering,Log,20.06,400,S3 Standard,Glacier,0.3812
F02381,Finance,Backup,19.94,318,S3 Standard,Glacier,0.3788
F01342,HR,Other,19.84,283,S3 Standard,Glacier,0.3769
F00795,Engineering,Backup,19.83,598,S3 Standard,Glacier,0.3768
F00019,HR,Log,19.76,344,S3 Standard,Glacier,0.3755
F01393,Sales,Log,44.0,763,S3 IA,Glacier,0.374
F01151,HR,Other,19.63,555,S3 Standard,Glacier,0.373
F01745,HR,Log,19.38,259,S3 Standard,Glacier,0.3682
F01531,Sales,Media,19.3,381,S3 Standard,Glacier,0.3667
F01269,HR,Document,19.16,475,S3 Standard,Glacier,0.3641
F00383,HR,Log,18.85,676,S3 Standard,Glacier,0.3582
F00886,Finance,Backup,18.67,505,S3 Standard,Glacier,0.3547
F02841,HR,Other,18.32,439,S3 Standard,Glacier,0.3481
F02873,HR,Document,18.31,488,S3 Standard,Glacier,0.3479
F02149,Finance,Backup,18.13,316,S3 Standard,Glacier,0.3445
F02421,Engineering,Document,18.13,856,S3 Standard,Glacier,0.3445
F02273,Sales,Media,18.05,523,S3 Standard,Glacier,0.343
F01127,Engineering,Other,18.03,438,S3 Standard,Glacier,0.3426
F00808,Marketing,Other,18.02,625,S3 Standard,Glacier,0.3424
F01825,HR,Other,18.0,772,S3 Standard,Glacier,0.342
F02516,HR,Document,17.99,768,S3 Standard,Glacier,0.3418
F02702,Engineering,Log,17.79,270,S3 Standard,Glacier,0.338
F01741,Finance,Other,17.63,293,S3 Standard,Glacier,0.335
F00754,Marketing,Document,17.45,279,S3 Standard,Glacier,0.3316
F01173,Sales,Backup,17.24,285,S3 Standard,Glacier,0.3275
F02440,Engineering,Backup,17.23,326,S3 Standard,Glacier,0.3274
F02300,Finance,Backup,17.17,604,S3 Standard,Glacier,0.3262
F00073,Sales,Other,17.17,610,S3 Standard,Glacier,0.3262
F00846,Sales,Media,16.99,647,S3 Standard,Glacier,0.3228
F02499,Marketing,Other,16.94,368,S3 Standard,Glacier,0.3218
F01646,HR,Backup,37.69,762,S3 IA,Glacier,0.3203
F01179,Sales,Media,16.75,233,S3 Standard,Glacier,0.3182
F01124,Marketing,Other,16.69,459,S3 Standard,Glacier,0.3171
F01492,Finance,Other,16.68,556,S3 Standard,Glacier,0.3169
F01223,Engineering,Other,16.5,351,S3 Standard,Glacier,0.3135
F02029,Marketing,Other,16.38,383,S3 Standard,Glacier,0.3112
F00172,HR,Log,16.36,611,S3 Standard,Glacier,0.3109
F02376,Sales,Media,16.34,220,S3 Standard,Glacier,0.3104
F02957,Engineering,Log,16.27,611,S3 Standard,Glacier,0.3091
F00490,Finance,Log,16.27,354,S3 Standard,Glacier,0.3091
F02745,Engineering,Log,16.26,562,S3 Standard,Glacier,0.309
F01231,Marketing,Other,16.2,523,S3 Standard,Glacier,0.3078
F02658,Marketing,Document,16.18,829,S3 Standard,Glacier,0.3074
F02539,Engineering,Backup,16.17,370,S3 Standard,Glacier,0.3072
F01604,Marketing,Log,16.12,746,S3 Standard,Glacier,0.3063
F01051,Engineering,Backup,15.98,441,S3 Standard,Glacier,0.3036
F02723,Sales,Log,15.98,673,S3 Standard,Glacier,0.3036
F02007,HR,Other,15.84,242,S3 Standard,Glacier,0.3009
F01427,Engineering,Backup,15.61,441,S3 Standard,Glacier,0.2966
F00553,Finance,Other,15.6,228,S3 Standard,Glacier,0.2964
F02644,Finance,Media,15.58,190,S3 Standard,Glacier,0.296
F01557,Marketing,Document,15.51,416,S3 Standard,Glacier,0.2947
F01399,HR,Media,15.51,457,S3 Standard,Glacier,0.2947
F02992,Sales,Media,15.47,806,S3 Standard,Glacier,0.2939
F00401,Marketing,Media,15.46,200,S3 Standard,Glacier,0.2938
F01638,Engineering,Media,15.44,246,S3 Standard,Glacier,0.2933
F00876,Engineering,Media,15.39,487,S3 Standard,Glacier,0.2924
F00425,Marketing,Backup,15.39,515,S3 Standard,Glacier,0.2924
F00964,Sales,Document,15.27,328,S3 Standard,Glacier,0.2901
F00521,Engineering,Document,15.2,742,S3 Standard,Glacier,0.2888
F00368,Marketing,Log,15.19,715,S3 Standard,Glacier,0.2886
F02771,Marketing,Other,15.12,780,S3 Standard,Glacier,0.2873
F00039,HR,Document,15.06,429,S3 Standard,Glacier,0.2862
F00871,Marketing,Media,15.01,639,S3 Standard,Glacier,0.2852
F01663,Finance,Document,14.8,874,S3 Standard,Glacier,0.2812
F00836,Engineering,Backup,14.76,210,S3 Standard,Glacier,0.2805
F00789,HR,Backup,14.68,477,S3 Standard,Glacier,0.2789
F00361,Engineering,Other,14.43,876,S3 Standard,Glacier,0.2742
F02791,Engineering,Backup,14.41,509,S3 Standard,Glacier,0.2738
F02410,Sales,Other,14.37,679,S3 Standard,Glacier,0.273
F02748,Engineering,Other,14.22,632,S3 Standard,Glacier,0.2702
F01175,Engineering,Other,14.14,488,S3 Standard,Glacier,0.2686
F01470,Marketing,Document,14.14,522,S3 Standard,Glacier,0.2686
F00963,Finance,Log,14.11,825,S3 Standard,Glacier,0.2681
F00449,HR,Backup,13.97,579,S3 Standard,Glacier,0.2654
F00642,Sales,Backup,13.89,786,S3 Standard,Glacier,0.2639
F00541,HR,Media,13.87,734,S3 Standard,Glacier,0.2635
F02086,Finance,Document,13.8,758,S3 Standard,Glacier,0.2622
F02018,Marketing,Other,13.72,684,S3 Standard,Glacier,0.2607
F00980,Marketing,Log,13.7,719,S3 Standard,Glacier,0.2603
F01100,Finance,Log,13.66,848,S3 Standard,Glacier,0.2596
F02876,HR,Media,13.61,499,S3 Standard,Glacier,0.2586
F01112,Engineering,Document,13.56,214,S3 Standard,Glacier,0.2577
F02690,HR,Document,13.54,561,S3 Standard,Glacier,0.2572
F00076,Finance,Media,13.51,378,S3 Standard,Glacier,0.2567
F01867,Finance,Media,13.49,873,S3 Standard,Glacier,0.2563
F02980,Sales,Document,13.49,380,S3 Standard,Glacier,0.2563
F00758,Finance,Log,13.47,583,S3 Standard,Glacier,0.2559
F02724,Marketing,Media,13.37,890,S3 Standard,Glacier,0.254
F01105,Marketing,Media,13.29,497,S3 Standard,Glacier,0.2525
F01833,Finance,Document,13.28,882,S3 Standard,Glacier,0.2523
F02880,Marketing,Backup,13.26,314,S3 Standard,Glacier,0.252
